Date ,Dist,Rep ,Trt,Dist_I_P(unit:mm),Dist_P_E(unit:mm),IsNAorNot
4,6,1,PDA,6.77,0,
4,6,2,PDA,7.17,0,
4,6,3,PDA,7.03,0,
4,6,4,PDA,5.66,0,
4,6,5,PDA,5.59,0,
4,6,6,PDA,6.56,0,
4,6,1,WA,5.17,0,
4,6,2,WA,5.68,0,
4,6,3,WA,4.77,0,
4,6,4,WA,5.66,0,NA
4,6,5,WA,5.4,0,
4,6,6,WA,5.76,0,
4,12,1,PDA,6.89,0,
4,12,2,PDA,7.5,0,
4,12,3,PDA,7.9,0,
4,12,4,PDA,9.51,0,
4,12,5,PDA,9.21,0,
4,12,6,PDA,6.78,0,
4,12,1,WA,7.23,0,
4,12,2,WA,7.65,0,
4,12,3,WA,6.11,0,
4,12,4,WA,7.43,0,
4,12,5,WA,5.62,0,
4,12,6,WA,4.99,0,
4,18,1,PDA,6.34,0,
4,18,2,PDA,5.78,0,
4,18,3,PDA,7.59,0,
4,18,4,PDA,7.97,0,
4,18,5,PDA,5.28,0,
4,18,6,PDA,5.96,0,
4,18,1,WA,5.16,0,
4,18,2,WA,4.69,0,
4,18,3,WA,4.86,0,
4,18,4,WA,5.65,0,
4,18,5,WA,4.22,0,
4,18,6,WA,4.71,0,
4,24,1,PDA,5.62,0,
4,24,2,PDA,6.65,0,
4,24,3,PDA,4.89,0,
4,24,4,PDA,6.22,0,
4,24,5,PDA,6.69,0,
4,24,6,PDA,5.31,0,
4,24,1,WA,4.74,0,
4,24,2,WA,4.01,0,
4,24,3,WA,4.02,0,
4,24,4,WA,4.55,0,
4,24,5,WA,5.16,0,
4,24,6,WA,5.08,0,
4,30,1,PDA,6.03,0,
4,30,2,PDA,4.68,0,
4,30,3,PDA,5.77,0,
4,30,4,PDA,5.08,0,
4,30,5,PDA,5.96,0,
4,30,6,PDA,5.16,0,
4,30,1,WA,5.59,0,
4,30,2,WA,5.11,0,
4,30,3,WA,5.39,0,
4,30,4,WA,4.59,0,
4,30,5,WA,4.72,0,
4,30,6,WA,4.85,0,
7,6,1,PDA,,,
7,6,2,PDA,,,
7,6,3,PDA,,,
7,6,4,PDA,,,
7,6,5,PDA,,,
7,6,6,PDA,,,
7,6,1,WA,,,
7,6,2,WA,,,
7,6,3,WA,,,
7,6,4,WA,,,
7,6,5,WA,,,
7,6,6,WA,,,
7,12,1,PDA,,,
7,12,2,PDA,,,
7,12,3,PDA,,,
7,12,4,PDA,,,
7,12,5,PDA,,,
7,12,6,PDA,,,
7,12,1,WA,,,
7,12,2,WA,,,
7,12,3,WA,,,
7,12,4,WA,,,
7,12,5,WA,,,
7,12,6,WA,,,
7,18,1,PDA,,,
7,18,2,PDA,,,
7,18,3,PDA,,,
7,18,4,PDA,,,
7,18,5,PDA,,,
7,18,6,PDA,,,
7,18,1,WA,,,
7,18,2,WA,,,
7,18,3,WA,,,
7,18,4,WA,,,
7,18,5,WA,,,
7,18,6,WA,,,
7,24,1,PDA,,,
7,24,2,PDA,,,
7,24,3,PDA,,,
7,24,4,PDA,,,
7,24,5,PDA,,,
7,24,6,PDA,,,
7,24,1,WA,,,
7,24,2,WA,,,
7,24,3,WA,,,
7,24,4,WA,,,
7,24,5,WA,,,
7,24,6,WA,,,
7,30,1,PDA,,,
7,30,2,PDA,,,
7,30,3,PDA,,,
7,30,4,PDA,,,
7,30,5,PDA,,,
7,30,6,PDA,,,
7,30,1,WA,,,
7,30,2,WA,,,
7,30,3,WA,,,
7,30,4,WA,,,
7,30,5,WA,,,
7,30,6,WA,,,
11,6,1,PDA,6.04,15.5,
11,6,2,PDA,6.61,11.85,
11,6,3,PDA,4.94,15.15,
11,6,4,PDA,5.93,17.09,
11,6,5,PDA,6.53,15.7,
11,6,6,PDA,6.42,12.53,
11,6,1,WA,4.71,9.76,
11,6,2,WA,5.73,12.15,
11,6,3,WA,7.14,12.38,
11,6,4,WA,5.32,9.49,
11,6,5,WA,5.02,11.1,
11,6,6,WA,5.74,13.82,
11,12,1,PDA,,,
11,12,2,PDA,,,
11,12,3,PDA,,,
11,12,4,PDA,,,
11,12,5,PDA,,,
11,12,6,PDA,,,
11,12,1,WA,,,
11,12,2,WA,,,
11,12,3,WA,,,
11,12,4,WA,,,
11,12,5,WA,,,
11,12,6,WA,,,
11,18,1,PDA,,,
11,18,2,PDA,,,
11,18,3,PDA,,,
11,18,4,PDA,,,
11,18,5,PDA,,,
11,18,6,PDA,,,
11,18,1,WA,,,
11,18,2,WA,,,
11,18,3,WA,,,
11,18,4,WA,,,
11,18,5,WA,,,
11,18,6,WA,,,
11,24,1,PDA,,,
11,24,2,PDA,,,
11,24,3,PDA,,,
11,24,4,PDA,,,
11,24,5,PDA,,,
11,24,6,PDA,,,
11,24,1,WA,,,
11,24,2,WA,,,
11,24,3,WA,,,
11,24,4,WA,,,
11,24,5,WA,,,
11,24,6,WA,,,
11,30,1,PDA,,,
11,30,2,PDA,,,
11,30,3,PDA,,,
11,30,4,PDA,,,
11,30,5,PDA,,,
11,30,6,PDA,,,
11,30,1,WA,,,
11,30,2,WA,,,
11,30,3,WA,,,
11,30,4,WA,,,
11,30,5,WA,,,
11,30,6,WA,,,